ISO,Country / Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
PRK,Democratic People's Republic of Korea,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3550.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COD,Democratic Republic of the Congo,,109419.0,311500.0,4380.0,54471.0,82290.0,333017.0,69693.0,45107.0,5092.0,5020.0,33711.0,88381.0,72029.0,133802.0,5407.0,57.0,12461.0,55577.0,80123.0,182485.0,44934.0,21956.0,30466.0,8072.0,8282.0,12135.0,15271.0,5766.0,9546.0,5443.0,12573.0,2749.0,63.0,,4564.0
DNK,Denmark,,25.0,9.0,0.0,0.0,4.0,15.0,8.0,4.0,3.0,9.0,27.0,17.0,2.0,84.0,5.0,6.0,14.0,2.0,27.0,2.0,0.0,0.0,32.0,11.0,14.0,,,61.0,119.0,20.0,36.0,115.0,129.0,162.0,180.0
DJI,Djibouti,,60.0,446.0,206.0,0.0,,,28.0,3.0,8.0,47.0,,28.0,709.0,49.0,7.0,48.0,143.0,24.0,49.0,298.0,71.0,37.0,50.0,79.0,183.0,341.0,198.0,,410.0,8.0,,37.0,129.0,13.0,104.0
DMA,Dominica,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0
DOM,Dominican Republic,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,253.0,274.0,14.0,1.0,0.0,0.0,3.0,4637.0,7650.0,7512.0,3477.0
ECU,Ecuador,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,72.0,257.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,919.0,3668.0,3627.0,4356.0,1585.0,1646.0
EGY,Egypt,,91.0,267.0,14.0,0.0,3.0,0.0,48.0,24.0,225.0,5432.0,1314.0,405.0,245.0,26.0,16.0,608.0,668.0,1684.0,953.0,77.0,80.0,164.0,653.0,2150.0,2633.0,1547.0,4868.0,4606.0,4403.0,1833.0,1444.0,2874.0,4403.0,1231.0,887.0
SLV,El Salvador,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,509.0,0.0,0.0
GNQ,Equatorial Guinea,,463.0,270.0,49.0,43.0,53.0,0.0,0.0,1.0,1699.0,1250.0,13.0,321.0,1190.0,0.0,0.0,78.0,436.0,5.0,0.0,,38.0,18.0,24.0,1339.0,,,,0.0,1.0,44.0,270.0,157.0,297.0,32.0,32.0
