CODE,NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DNK,Denmark,84.0,86.0,85.0,81.0,88.0,88.0,85.0,84.0,91.0,92.0,99.0,94.0,95.0,96.0,96.0,95.0,90.0,89.0,87.0,84.0,85.0,87.0,90.0,89.0,90.0,91.0,94.0,97.0,95.0,96.0,94.0,95.0,95.0,95.0,94.0
DOM,Dominican Republic,70.0,72.0,73.0,75.0,76.0,78.0,79.0,79.0,80.0,83.0,85.0,88.0,86.0,83.0,81.0,79.0,80.0,80.0,80.0,81.0,81.0,82.0,82.0,77.0,82.0,84.0,79.0,80.0,85.0,90.0,76.0,82.0,85.0,88.0,89.0
DZA,Algeria,83.0,85.0,86.0,87.0,88.0,89.0,90.0,92.0,84.0,83.0,80.0,83.0,81.0,84.0,81.0,83.0,91.0,92.0,88.0,92.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,88.0,80.0,80.0,80.0,79.0,79.0,99.0,94.0
ECU,Ecuador,60.0,54.0,69.0,85.0,83.0,81.0,79.0,77.0,89.0,99.0,99.0,99.0,99.0,99.0,99.0,93.0,97.0,98.0,98.0,97.0,95.0,94.0,96.0,97.0,85.0,84.0,86.0,81.0,83.0,83.0,81.0,65.0,74.0,74.0,74.0
EGY,Egypt,86.0,89.0,89.0,89.0,89.0,89.0,92.0,92.0,98.0,96.0,98.0,97.0,97.0,98.0,97.0,98.0,98.0,97.0,92.0,95.0,96.0,96.0,93.0,96.0,93.0,92.0,95.0,94.0,94.0,95.0,94.0,96.0,96.0,96.0,97.0
ERI,Eritrea,,,,34.0,51.0,58.0,66.0,73.0,79.0,88.0,76.0,84.0,83.0,92.0,96.0,95.0,94.0,92.0,91.0,93.0,95.0,96.0,98.0,94.0,90.0,97.0,95.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
ESP,Spain,99.0,85.0,83.0,90.0,90.0,90.0,90.0,93.0,93.0,95.0,94.0,96.0,97.0,98.0,97.0,97.0,97.0,97.0,98.0,98.0,95.0,97.0,97.0,95.0,96.0,96.0,97.0,98.0,98.0,98.0,96.0,95.0,97.0,96.0,97.0
EST,Estonia,,,,74.0,76.0,81.0,86.0,88.0,89.0,92.0,93.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,87.0,88.0,91.0,89.0,87.0,85.0,83.0
ETH,Ethiopia,38.0,17.0,12.0,22.0,54.0,38.0,54.0,51.0,39.0,27.0,28.0,29.0,32.0,33.0,35.0,40.0,44.0,49.0,54.0,59.0,64.0,68.0,62.0,55.0,54.0,56.0,57.0,59.0,54.0,56.0,57.0,60.0,62.0,68.0,72.0
FIN,Finland,97.0,97.0,99.0,99.0,99.0,98.0,98.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,97.0,98.0,98.0,97.0,97.0,97.0,96.0,95.0,95.0,94.0,96.0,96.0,95.0,93.0,94.0,94.0,94.0
FJI,Fiji,84.0,93.0,91.0,96.0,96.0,94.0,94.0,75.0,77.0,79.0,81.0,83.0,85.0,86.0,88.0,90.0,92.0,94.0,95.0,95.0,96.0,96.0,98.0,94.0,99.0,98.0,97.0,99.0,95.0,94.0,92.0,98.0,99.0,98.0,91.0
FRA,France,71.0,74.0,76.0,78.0,80.0,83.0,84.0,83.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,87.0,89.0,90.0,89.0,89.0,89.0,89.0,91.0,90.0,91.0,91.0,90.0,90.0,91.0,92.0,94.0,94.0,95.0,95.0,95.0
FSM,Micronesia (Federated States of),81.0,76.0,78.0,80.0,83.0,90.0,82.0,74.0,82.0,79.0,85.0,84.0,88.0,91.0,85.0,96.0,83.0,92.0,86.0,86.0,80.0,92.0,91.0,91.0,83.0,74.0,70.0,76.0,73.0,78.0,79.0,64.0,69.0,86.0,81.0
GAB,Gabon,76.0,71.0,66.0,63.0,60.0,57.0,57.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,62.0,67.0,63.0,62.0,72.0,71.0,70.0,61.0,68.0,64.0,63.0,59.0,62.0,53.0,64.0,52.0,66.0,57.0
GBR,United Kingdom of Great Britain and Northern Ireland,87.0,90.0,92.0,91.0,91.0,92.0,92.0,91.0,87.0,88.0,88.0,85.0,85.0,82.0,81.0,82.0,85.0,86.0,86.0,86.0,89.0,90.0,92.0,93.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0,91.0,90.0,90.0,89.0
GEO,Georgia,,,16.0,61.0,63.0,61.0,65.0,69.0,73.0,76.0,73.0,74.0,75.0,76.0,86.0,90.0,96.0,97.0,97.0,83.0,94.0,91.0,93.0,97.0,92.0,96.0,93.0,95.0,98.0,99.0,91.0,90.0,90.0,95.0,90.0
GHA,Ghana,61.0,63.0,64.0,66.0,68.0,70.0,71.0,73.0,78.0,81.0,90.0,78.0,78.0,80.0,83.0,83.0,85.0,95.0,86.0,93.0,93.0,91.0,89.0,89.0,92.0,89.0,89.0,95.0,92.0,92.0,88.0,94.0,95.0,90.0,90.0
GIN,Guinea,35.0,42.0,52.0,55.0,58.0,61.0,61.0,56.0,52.0,40.0,42.0,44.0,46.0,48.0,50.0,51.0,51.0,57.0,55.0,53.0,58.0,62.0,58.0,55.0,51.0,47.0,48.0,48.0,49.0,50.0,50.0,51.0,51.0,52.0,60.0
GMB,Gambia,86.0,87.0,83.0,87.0,89.0,91.0,94.0,91.0,90.0,90.0,89.0,89.0,90.0,90.0,92.0,91.0,89.0,88.0,92.0,96.0,92.0,91.0,95.0,96.0,96.0,97.0,97.0,90.0,91.0,85.0,82.0,79.0,74.0,80.0,83.0
GNB,Guinea-Bissau,53.0,52.0,60.0,68.0,68.0,45.0,49.0,51.0,61.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,74.0,73.0,71.0,69.0,76.0,83.0,81.0,81.0,81.0,80.0,80.0,66.0,79.0,79.0,72.0,63.0,75.0,72.0,65.0
GNQ,Equatorial Guinea,88.0,85.0,82.0,79.0,80.0,81.0,81.0,82.0,82.0,51.0,50.0,50.0,49.0,48.0,48.0,47.0,47.0,46.0,45.0,45.0,44.0,46.0,49.0,51.0,53.0,50.0,53.0,52.0,52.0,51.0,50.0,50.0,49.0,61.0,53.0
GRC,Greece,76.0,72.0,72.0,72.0,70.0,70.0,90.0,90.0,89.0,88.0,89.0,91.0,92.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,91.0,91.0
GRD,Grenada,85.0,96.0,73.0,99.0,87.0,88.0,85.0,92.0,97.0,94.0,92.0,99.0,96.0,99.0,74.0,99.0,98.0,98.0,99.0,98.0,95.0,95.0,94.0,94.0,94.0,99.0,95.0,85.0,84.0,94.0,83.0,70.0,76.0,82.0,83.0
GTM,Guatemala,68.0,49.0,59.0,71.0,66.0,83.0,69.0,74.0,79.0,83.0,86.0,91.0,92.0,94.0,95.0,93.0,95.0,86.0,96.0,92.0,93.0,89.0,93.0,91.0,68.0,79.0,89.0,94.0,89.0,90.0,89.0,88.0,86.0,89.0,90.0
GUY,Guyana,73.0,76.0,73.0,92.0,83.0,77.0,91.0,82.0,93.0,87.0,86.0,92.0,93.0,89.0,88.0,92.0,90.0,96.0,95.0,97.0,95.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,95.0,97.0,98.0,99.0
