Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
North Lanarkshire,NL008501400,FORMER HOUSING SITE NLMW1225,MAIN STREET HOLYTOWN,276509,660506,0.25,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Residential - Housing,Developable - Undetermined,S01011499
North Lanarkshire,NL008501406,DEVELOPMENT SITE WEST OF BELL QUADRANT,BELL QUADRANT CARFIN MOTHERWELL,276929,658905,1.28,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Local Authority,2001-2004,Recreation & Leisure,Developable - Short Term,S01011466
North Lanarkshire,NL008501410,FORGEWOOD REGENERATON AREA 4,DALRIADA CRESCENT FORGEWOOD MOTHERWELL,274640,658203,0.51,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2010,Residential - Housing,Developable - Undetermined,S01011492
North Lanarkshire,NL008501414,SITE OF FORMER REFUGE (HOUSING SITE NLMW1372),ALEXANDER STREET WISHAW,278907,655058,0.23,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2009,Community & Health,Developable - Short Term,S01011389
North Lanarkshire,NL008501415,DEMOLISHED FACTORY UNITS (9-13 & 18-22),NETHERDALE ROAD NETHERTON INDUSTRIAL ESTATE WISHAW,278249,654661,0.44,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2010,Other General Industry,Developable - Short Term,S01011365
North Lanarkshire,NL008501416,FORGEWOOD REGENARATION AREA 2,MARMION CRESCENT FORGEWOOD MOTHERWELL,274657,658306,0.14,Vacant Land,"Site in settlement with population equal to or over 2,000",Housing Association,Not applicable  (i.e. only one owner),2010,Residential - Housing,Developable - Undetermined,S01011491
North Lanarkshire,NL008501417,PROLOGIS - WEST SITE - B1 & B2,EDINBURGH ROAD NEWHOUSE,278499,661490,0.9,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Developable - Short Term,S01011446
North Lanarkshire,NL008501451,SITE OF FORMER HARTWOODHILL HOSPITAL,HARTWOOD ROAD HARTWOOD,286011,659829,10.89,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2011,Community & Health,Developable - Undetermined,S01011429
North Lanarkshire,NL008501454,SITE OF FORMER SCHOOL/COUNCIL OFFICE,BRANDON STREET MOTHERWELL,275638,656615,0.45,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2011,Offices,Developable - Short Term,S01011473
North Lanarkshire,NL008501456,SITE OF FORMER CALDER BRIDGE COTTAGE (NO 320),MOTHERWELL ROAD BELLSHILL,274050,659122,0.16,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2011,Residential - Housing,Developable - Undetermined,S01011496
North Lanarkshire,NL008501462,PLANTATION ROAD SOUTH SCHOOL SITE,PLANTATION ROAD RAVENSCRAIG MOTHERWELL,277304,657754,2.56,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Manufacturing,Developable - Undetermined,S01011451
North Lanarkshire,NL008501463,RAVENSCRAIG EAST - NORTH SITE REMAINDER,PLANTATION ROAD RAVENSCRAIG MOTHERWELL,277507,658079,11.27,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Local Authority,1991-1995,Manufacturing,Developable - Medium Term,S01011451
North Lanarkshire,NL008501470,LAND ADJACENT TO FORMER BONE STEEL FACTORY,NETHERTON ROAD NETHERTON WISHAW,278752,654180,1.2,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2011,Manufacturing,Developable - Undetermined,S01011362
North Lanarkshire,NL008501473,FORMER YARD,MANSE ROAD STANE SHOTTS,288230,659509,0.32,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Local Authority,2011,Other General Industry,Developable - Undetermined,S01011435
North Lanarkshire,NL008501477,FORMER HARTWOOD HOSPITAL NORTH SITE,HOME FARM ROAD HARTWOOD,284486,659273,4.21,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2001-2004,Community & Health,Developable - Undetermined,S01011429
North Lanarkshire,NL008501482,SITE OF FORMER BUS DEPOT,HIRST ROAD HARTHILL,287919,663948,0.54,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2011,Other General Industry,Developable - Undetermined,S01011439
North Lanarkshire,NL008501483,GAP SITE WEST OF 18,HIRST ROAD HARTHILL,288032,663986,0.22,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2011,Residential - Housing,Developable - Undetermined,S01011439
North Lanarkshire,NL008501484,SITE OF FORMER DOCTOR'S SURGERY (NO 10),JOHN STREET BELLSHILL,273447,660157,0.14,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2011,Community & Health,Developable - Undetermined,S01011523
North Lanarkshire,NL008501486,HOUSING SITE NLMW0364,MORNINGSIDE ROAD MORNINGSIDE NEWMAINS,283090,655458,1.45,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2007,Mineral Activity,Developable - Short Term,S01011426
North Lanarkshire,NL008501501,FORMER WISHAW METHODIST CHURCH (HOUSING SITE NLMW0,CALEDONIAN ROAD WISHAW,279523,654880,0.1,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2012,Community & Health,Developable - Short Term,S01011395
North Lanarkshire,NL008501502,SITE OF FORMER PATHER FARM / TAILYBRUSH,DIMSDALE ROAD WISHAW,280177,653800,1.24,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2012,Agriculture,Developable - Short Term,S01011362
North Lanarkshire,NL008501504,SITE WEST OF MORNINGSIDE ROAD (HOUSING SITE NLMW11,MORNINGSIDE ROAD NEWMAINS,282663,655464,12.33,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Mineral Activity,Developable - Medium Term,S01011426
North Lanarkshire,NL008501511,SITE OF FORMER PUB AND HOUSE,CHURCH STREET NEWARTHILL MOTHERWELL,278610,659727,0.29,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Other Private,2012,Residential - Housing,Developable - Undetermined,S01011452
North Lanarkshire,NL008501512,NORTH OF BELL QUADRANT LOCAL CENTRE,BELL QUADRANT CARFIN MOTHERWELL,277005,658852,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2011,Storage,Developable - Undetermined,S01011466
North Lanarkshire,NL008501514,SITE OF FORMER MINERS WELFARE INSTITUTE (HLA NLMW0,THORN ROAD BELLSHILL,273654,660124,0.44,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2005,Community & Health,Developable - Short Term,S01011522
North Lanarkshire,NL008501521,LAND AT 137 CRAIGTNUEK STREET,CRAIGNEUK STREET CRAIGNEUK WISHAW,277079,656000,0.47,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2012,Residential - Housing,Developable - Medium Term,S01011382
North Lanarkshire,NL008501544,FORMER PAXTANE FARM,EDINBURGH ROAD EASTFIELD HARTHILL,290080,664002,0.36,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Agriculture,Developable - Undetermined,S01011439
North Lanarkshire,NL008501546,SITE OF FORMER MUIRHOUSE FOUNDRY & ENG WKS,EXCELSIOR STREET WISHAW,277576,655054,0.48,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Manufacturing,Developable - Undetermined,S01011387
North Lanarkshire,NL008501567,FORMER COAL BING SOUTH OF,SIDEHEAD ROAD HARTHILL,290599,662997,2.83,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Uneconomic to Develop/Soft End Use,S01011439
North Lanarkshire,NL008501568,FORMER MINERAL WORKINGS,WEST BENHAR ROAD HARTHILL,289655,662979,0.49,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Uneconomic to Develop/Soft End Use,S01011439
North Lanarkshire,NL008501592,FORMER BELLSHILL ATHLETIC CLUB (NLMW1162),HATTONRIGG ROAD BELLSHILL,273628,660819,2.92,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Recreation & Leisure,Developable - Short Term,S01011530
North Lanarkshire,NL008501593,REEMA ROAD WEST (REINSTATED),REEMA ROAD BELLSHILL,273721,660627,0.82,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),1981-1985,Mineral Activity,Developable - Undetermined,S01011525
North Lanarkshire,NL008501594,INDUSTRIAL YARD NLS00545,MARION STREET BELLSHILL,274724,660484,0.26,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Storage,Developable - Medium Term,S01011525
North Lanarkshire,NL008501596,SITE OF FORMER MOTOR TRANSPORT WORKS,BEECH CRESCENT NEWHOUSE INDUSTRIAL ESTATE NEWHOUSE,277459,661144,2.47,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Other General Industry,Developable - Short Term,S01011504
North Lanarkshire,NL008501599,FORMER MOTHERWELL PLASTICS SITE,NEWHUT ROAD BRAIDHURST INDUSTRIAL ESTATE MOTHERWELL,275017,658256,0.44,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2013,Other General Industry,Developable - Short Term,S01011496
North Lanarkshire,NL008501600,ABANDONED GOLF COURSE,CHAPELKNOWE ROAD CLELAND,279013,658060,3.92,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2013,Recreation & Leisure,Uneconomic to Develop/Soft End Use,S01011451
North Lanarkshire,NL008501601,DALZIEL PARK FORMER GOLF DRIVING RANGE,HAGEN DRIVE CLELAND,278084,657733,2.74,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2009,Recreation & Leisure,Developable - Undetermined,S01011451
North Lanarkshire,NL008501603,PD STIRLING NORTH SITE,REEMA ROAD BELLSHILL,274611,661302,4.96,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Prepared Ground,Developable - Short Term,S01011525
North Lanarkshire,NL008501605,SITE OF FORMER CENTRAL GARAGE,FOUNDRY ROAD SHOTTS,287568,659792,0.22,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Local Authority,2013,Other General Industry,Developable - Medium Term,S01011435
North Lanarkshire,NL008501606,LAND EAST OF RAVENSCRAIG - WILDLIFE HABITAT,NEW CRAIG ROAD MOTHERWELL,278425,656882,3.29,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2013,Mineral Activity,Developable - Undetermined,S01011451
North Lanarkshire,NL008501607,SITE OF FORMER SPRINGFIELD FARM,SPRINGHILL AND LEADLOCH ROAD SHOTTS,289153,659171,0.31,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2013,Agriculture,Developable - Short Term,S01011429
North Lanarkshire,NL008501613,DEVELOPMENT SITE ADJACENT TO SHIELDMUIR PARK & RID,RANGE AVENUE MOTHERWELL,277291,655386,0.35,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Other General Industry,Developable - Undetermined,S01011370
North Lanarkshire,NL008501614,HOUSING SITE NLMW0235,ENGLISH STREET CRAIGNEUK WISHAW,277626,655515,0.58,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2013,Residential - Housing,Developable - Undetermined,S01011387
North Lanarkshire,NL008501619,SITE OF FORMER SCHOOLHOUSE,MORNINGSIDE ROAD MORNINGSIDE NEWMAINS,283433,654562,0.17,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2013,Education,Developable - Undetermined,S01011426
North Lanarkshire,NL008501620,SITE OF FORMER RESIDENTIAL HOSTEL AND GARAGES,KILMENY CRESCENT COLTNESS WISHAW,280504,656401,0.11,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2013,Residential - Housing,Developable - Undetermined,S01011408
North Lanarkshire,NL008501621,FORMER GARRION GREENHOUSES SOUTH (HOUSING SITE NLM,HORSLEY BRAE OVERTOWN,279588,650939,2.1,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2013,Agriculture,Developable - Short Term,S01011362
North Lanarkshire,NL008501625,SITE OF FORMER ST MATTHEW'S RC PRIMARY,PENTLAND ROAD WISHAWHILL WISHAW,278320,655781,5.68,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2010,Education,Developable - Medium Term,S01011385
North Lanarkshire,NL008501653,SITE OF FORMER ALMOND COTTAGE (DEMOLISHED),WEST BENHAR ROAD HARTHILL,289172,663531,0.11,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2014,Residential - Housing,Developable - Undetermined,S01011439
North Lanarkshire,NL008501658,INDUSTRIAL SITE NLS00551,GOIL AVENUE RIGHEAD INDUSTRIAL ESTATE BELLSHILL,271804,660801,0.38,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2001-2004,Other General Industry,Developable - Short Term,S01011532
North Lanarkshire,NL008501659,ABANDONED YARD,MARION STREET BELLSHILL,274807,660480,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2014,Storage,Developable - Medium Term,S01011525
North Lanarkshire,NL008501666,SITE OF FORMER NEWARTHILL GARDEN CENTRE,LEGBRANNOCK ROAD NEWARTHILL MOTHERWELL,278271,660098,0.43,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2014,Retailing,Developable - Undetermined,S01011446
North Lanarkshire,NL008501667,SITE OF SHOTTS PRISON (DEMOLISHED),NEWMILL AND CANTHILL ROAD SHOTTS,285451,660970,8.85,Derelict,Site in countryside,Scottish Government,Not applicable  (i.e. only one owner),2014,Community & Health,Developable - Undetermined,S01011429
North Lanarkshire,NL008501669,LAND AT OMOA,BIGGAR ROAD CLELAND,279429,659663,1.45,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2014,Other General Industry,Developable - Undetermined,S01011451
North Lanarkshire,NL008501681,FORMER GARRION FARM GLASSHOUSES (NORTH) NLMW1180,HORSLEY BRAE OVERTOWN,279551,651151,2.58,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2014,Agriculture,Developable - Short Term,S01011362
North Lanarkshire,NL008501682,SITE OF FORMER COUNCIL FLATS (NOS 23-81),INNERLEITHEN DRIVE COLTNESS WISHAW,280543,656871,0.46,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2014,Residential - Housing,Developable - Undetermined,S01011409
North Lanarkshire,NL008501684,SITE OF FORMER COUNCIL FLATS,WALKERBURN DRIVE COLTNESS WISHAW,280577,656782,0.26,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2014,Residential - Housing,Developable - Undetermined,S01011409
North Lanarkshire,NL008501686,SITE OF FORMER ALLANTON COMMUNITY CENTRE,ALLANTON ROAD ALLANTON,285072,657887,0.1,Derelict,"Site in settlement with population under 2,000",Local Authority,Not applicable  (i.e. only one owner),2014,Community & Health,Developable - Undetermined,S01011427
North Lanarkshire,NL008501717,BELLSHILL NORTH NLS00064,BELGOWAN STREET BELLSHILL INDUSTRIAL ESTATE BELLSHILL,273013,661674,2.48,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1986-1990,Mineral Activity,Developable - Short Term,S01011532
North Lanarkshire,NL008501719,SITE OF FORMER CARNBROE MAINS FARM,CARNBROE ROAD SHIRREL BELLSHILL,273908,662193,0.66,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2015,Agriculture,Developable - Short Term,S01011525
North Lanarkshire,NL008501726,HOUSING LAND SITE NLMW1132,MORNINGSIDE ROAD MORNINGSIDE NEWMAINS,282929,655486,0.46,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2015,Residential - Housing,Developable - Undetermined,S01011426
North Lanarkshire,NL008501727,SITE OF FORMER WISHAW MARKET - REMAINDER WEST,EAST ACADEMY STREET WISHAW,279678,654947,0.16,Derelict,"Site in settlement with population equal to or over 2,000",Housing Association,Not applicable  (i.e. only one owner),2015,Agriculture,Developable - Undetermined,S01011395
North Lanarkshire,NL008501728,GARRION GLASSHOUSE NORTH EAST - NLMW1180,HORSLEY BRAE OVERTOWN,279658,651226,0.21,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2015,Agriculture,Developable - Short Term,S01011362
North Lanarkshire,NL008501753,FORMER HARTHILL PRIMARY SCHOOL CANTEEN BUILDING,MAIN STREET HARTHILL,290384,664329,0.13,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2007,Education,Developable - Undetermined,S01011442
North Lanarkshire,NL008501756,SITE OF FORMER DWELLINGHOUSE (NO2),HOLMBRAE AVENUE UDDINGSTON,269761,661477,0.11,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2012,Residential - Housing,Developable - Short Term,S01011538
North Lanarkshire,NL008501759,COMPOUND - WEST,UNTHANK ROAD BELLSHILL,274077,660503,0.37,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Other General Industry,Developable - Medium Term,S01011525
North Lanarkshire,NL008501760,COMPOUND - EAST,UNTHANK ROAD BELLSHILL,274168,660520,0.65,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Other General Industry,Developable - Medium Term,S01011525
North Lanarkshire,NL008501762,ABANDONED YARD (THANKERTON COLLIERY PIT NO2),CARDEAN ROAD BELLSHILL,275085,660534,0.18,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Mineral Activity,Developable - Undetermined,S01011497
North Lanarkshire,NL008501763,ABANDONED GREENHOUSE AND CAR PARK,MOTHERWELL ROAD NEWHOUSE,279366,661198,0.1,Derelict,Site in countryside,Other Private,Other Private,2016,Agriculture,Developable - Undetermined,S01011446
North Lanarkshire,NL008501766,SITE OF FORMER INDUSTRIAL UNIT,NEWHUT ROAD BRAIDHURST INDUSTRIAL ESTATE MOTHERWELL,274974,658229,0.11,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2016,Other General Industry,Developable - Short Term,S01011496
North Lanarkshire,NL008501768,SITE OF FORMER MAYFIELD GARAGE (HSG SITE NLMW1222),BUCHAN ROAD CARFIN INDUSTRIAL ESTATE MOTHERWELL,276526,658824,0.55,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Other General Industry,Developable - Short Term,S01011464
North Lanarkshire,NL008501770,FORMER AGRICULTURAL BUILDINGS,SWINSTIE ROAD BELLSIDE CLELAND,280465,657744,0.27,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2008,Agriculture,Developable - Undetermined,S01011451
North Lanarkshire,NL008501773,RAVENSCRAIG - EAST OF RAILWAY LINE - MEADOWHEAD RE,ROBBERHALL ROAD MOTHERWELL,278141,656662,50.84,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Manufacturing,Developable - Undetermined,S01011451
North Lanarkshire,NL008501777,YARD 35 FLEMINGTON IND PARK (ILS NLS00569),WELLINGTON STREET CRAIGNEUK WISHAW,277267,656137,0.34,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Other General Industry,Developable - Undetermined,S01011451
North Lanarkshire,NL008501778,ADANDONED YARD,EXCELSIOR STREET NETHERTON WISHAW,277540,654998,0.13,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Manufacturing,Developable - Undetermined,S01011387
North Lanarkshire,NL008501780,SITE OF FORMER PLAY AREA/ALLOTMENTS (FORMER NLMW10,EASTMUIR STREET CAMBUSNETHAN WISHAW,281503,655453,0.22,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Transport,Developable - Undetermined,S01011426
North Lanarkshire,NL008501781,FORMER GARRION FARM BUILDINGS (NLMW1180),HORSLEY BRAE OVERTOWN,279643,651106,1.45,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Agriculture,Developable - Short Term,S01011362
North Lanarkshire,NL008501785,SITE OF FORMER CASTLEHILL PRIMARY SCHOOL,BIRKSHAW BRAE GOWKTHRAPPLE WISHAW,279229,653733,1.56,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Education,Developable - Medium Term,S01011361
North Lanarkshire,NL008501787,FORMERLY 'THE SQUARE'  (HOUSING SITE NLMW0677),MORNINGSIDE ROAD MORNINGSIDE NEWMAINS,283182,655266,0.28,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Residential - Housing,Developable - Short Term,S01011426
North Lanarkshire,NL008501788,SITE OF FORMER PUB - ROWAN TREE (HOUSING SITE NLMW,BONKLE ROAD NEWMAINS,282701,656334,0.15,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2017,Recreation & Leisure,Developable - Short Term,S01011423
North Lanarkshire,NL008501791,SITE OF FORMER DUTCHESS PARK DEPOT,CADZOW STREET MOTHERWELL,274910,656573,0.11,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Recreation & Leisure,Developable - Undetermined,S01011478
North Lanarkshire,NL008501798,SITE OF FORMER ATLANTIC WORKS,GLEN ROAD NEWHOUSE INDUSTRIAL ESTATE NEWHOUSE,277934,661368,1.21,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2017,Manufacturing,Developable - Short Term,S01011504
North Lanarkshire,NL008501799,SITE EAST OF WH MALCOLM,GLASGOW AND EDINBURGH ROAD NEWHOUSE,278377,661348,2.11,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2017,Manufacturing,Developable - Medium Term,S01011446
North Lanarkshire,NL008501801,SITE OF FORMER EASTFIELD NURSERY (GLASSHOUSES),OLD EASTFIELD STREET EASTFIELD HARTHILL,289707,664215,0.65,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Agriculture,Developable - Short Term,S01011439
North Lanarkshire,NL008501832,SITE OF FORMER GASHOLDER STATION (HOUSING SITE NLM,NETHERTON STREET NETHERTON WISHAW,278485,654708,0.67,Derelict,"Site in settlement with population equal to or over 2,000",Private Gas,Not applicable  (i.e. only one owner),2017,Storage,Developable - Medium Term,S01011388
North Lanarkshire,NL008501833,SITE OF FORMER WISHAW METHODIST CHURCH (HSG REF NL,CALEDONIAN ROAD WISHAW,279540,654912,0.13,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2012,Community & Health,Developable - Short Term,S01011395
North Lanarkshire,NL008501834,FORMER OVERTOWN PRIMARY SCHOOL (HOUSING SITE NLMW1,MAIN STREET OVERTOWN,280475,653297,0.4,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Education,Developable - Short Term,S01011357
North Lanarkshire,NL008501835,FORMER RECREATION GROUND (HOUSING SITE NLMW1250),OVERTOWN ROAD WATERLOO WISHAW,281211,653986,1.61,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Recreation & Leisure,Developable - Medium Term,S01011426
North Lanarkshire,NL008501837,LAND NORTH OF TIMBER YARD (HOUSING SITE NLWM1174),NORTH AND SOUTH ROAD BELLSIDE CLELAND,281360,658052,1.54,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2018,Mineral Activity,Developable - Medium Term,S01011426
North Lanarkshire,NL008501840,PROPOSED HOUSING SITE NLMW1224,MABEL STREET MOTHERWELL,275437,656359,0.64,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Residential - Housing,Developable - Short Term,S01011474
North Lanarkshire,NL008501843,FORMER VICTORIA PARK (HOUSING SITE NLMW1171),WOODHALL ROAD WISHAW,281836,655573,9.76,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Local Authority,2018,Recreation & Leisure,Developable - Medium Term,S01011426
North Lanarkshire,NL008501845,LAND EAST OF ASDA,MORNINGSIDE ROAD NEWMAINS,282563,655828,2.79,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2018,Unknown,Developable - Undetermined,S01011417
North Lanarkshire,NL008501846,PROPOSED HOUSING SITE NLMW1161,COMMUNITY ROAD ORBISTON BELLSHILL,273129,658947,0.87,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Transport,Developable - Medium Term,S01011514
North Lanarkshire,NL008501850,FORMER WOODEND CARAVAN PARK (HLAND SITE NLMW1239),MILL ROAD ALLANTON,284731,657609,1.05,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2018,Residential - Housing,Developable - Medium Term,S01011426
North Lanarkshire,NL008501856,INDUSTRIAL SITE EAST - NLS00596,PHEONIX CRESCENT STRATHCLYDE BUSINESS PARK BELLSHILL,272927,661958,1.08,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Mineral Activity,Developable - Medium Term,S01011532
North Lanarkshire,NL008501857,FORMER TEMPORARY PARKING AREA,FINCH WAY STRATHCLYDE BUSINESS PARK BELLSHILL,272845,661840,0.19,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2018,Prepared Ground,Developable - Medium Term,S01011532
North Lanarkshire,NL008501860,FORMER BLAES PITCHES (FORMER HOUSING SITE NLMW1228,BON ACCORD CRESCENT DYKEHEAD SHOTTS,287305,660321,1.14,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Recreation & Leisure,Developable - Undetermined,S01011431
