Datazone,DZname,LAname,Income_Domain,Employment_Domain,Education_Domain,Health_Domain,Crime_Domain
S01010401,Partickhill and Hyndland - 05,Glasgow City,3677.0,4619.0,5839,4536,3776.0
S01010402,Partickhill and Hyndland - 06,Glasgow City,6073.0,6678.0,6743,6761,4104.0
S01010403,Dowanhill - 01,Glasgow City,6028.0,6234.0,6861,5897,3586.0
S01010404,Dowanhill - 02,Glasgow City,5348.5,6416.0,6048,6479,4023.0
S01010405,Dowanhill - 03,Glasgow City,5629.0,5320.0,6920,6523,3747.0
S01010406,Dowanhill - 04,Glasgow City,5783.0,5890.0,6116,6049,3788.0
S01010407,Dowanhill - 05,Glasgow City,5233.0,6423.0,6492,5780,2262.0
S01010408,Kelvinside and Jordanhill - 01,Glasgow City,2813.0,1543.0,6485,3120,3133.0
S01010409,Kelvinside and Jordanhill - 02,Glasgow City,6611.0,5683.0,6890,6283,5268.0
S01010410,Kelvinside and Jordanhill - 03,Glasgow City,6907.0,6262.0,6729,6457,3206.0
S01010411,Kelvinside and Jordanhill - 04,Glasgow City,6430.0,6359.0,6914,6778,2084.0
S01010412,Kelvinside and Jordanhill - 05,Glasgow City,6070.0,4733.0,6583,6072,564.0
S01010413,Kelvinside and Jordanhill - 06,Glasgow City,6225.0,5796.0,6901,5391,2469.5
S01010414,Kelvinside and Jordanhill - 07,Glasgow City,4554.0,5360.0,6793,4974,4949.0
S01010415,Broomhill - 01,Glasgow City,1108.0,709.0,3301,754,974.0
S01010416,Broomhill - 02,Glasgow City,6046.5,6517.0,6856,6006,3983.5
S01010417,Broomhill - 03,Glasgow City,6403.0,6723.0,6650,6207,5124.0
S01010418,Broomhill - 04,Glasgow City,5326.0,6001.5,6391,6168,3370.0
S01010419,Broomhill - 05,Glasgow City,5988.0,6251.0,6665,6146,6142.0
S01010420,Victoria Park - 01,Glasgow City,5341.0,5504.0,6770,5390,3204.0
S01010421,Victoria Park - 02,Glasgow City,5347.0,5163.5,6812,5522,2048.0
S01010422,Victoria Park - 03,Glasgow City,3478.0,3404.0,6284,3105,3274.0
S01010423,Whiteinch - 01,Glasgow City,405.0,405.0,1584,413,1289.0
S01010424,Whiteinch - 02,Glasgow City,634.0,846.0,2752,383,2044.0
S01010425,Whiteinch - 03,Glasgow City,281.5,287.0,928,409,554.0
S01010426,Whiteinch - 04,Glasgow City,1143.0,1034.0,2142,1744,2321.0
S01010427,Scotstoun North and East - 01,Glasgow City,646.0,660.0,1959,1285,2208.0
S01010428,Scotstoun North and East - 02,Glasgow City,4323.0,4863.0,6151,4477,4165.0
S01010429,Scotstoun North and East - 03,Glasgow City,5387.5,4835.0,6642,5411,3675.0
S01010430,Scotstoun North and East - 04,Glasgow City,669.0,839.0,1263,1043,1722.0
S01010431,Scotstoun North and East - 05,Glasgow City,6206.0,5732.0,6924,6261,3500.0
S01010432,Scotstoun South and West - 01,Glasgow City,809.0,1099.0,2633,1212,1101.0
S01010433,Scotstoun South and West - 02,Glasgow City,101.0,222.0,861,422,508.0
S01010434,Scotstoun South and West - 03,Glasgow City,74.0,216.0,442,273,2463.0
S01010435,Scotstoun South and West - 04,Glasgow City,1314.0,2342.0,2283,912,672.0
S01010436,Scotstoun South and West - 05,Glasgow City,381.0,284.0,776,472,468.0
S01010437,Yoker South - 01,Glasgow City,1295.5,1681.0,2985,1623,2567.5
S01010438,Yoker South - 02,Glasgow City,703.0,818.0,1715,1333,1858.0
S01010439,Yoker South - 03,Glasgow City,744.0,1074.0,1846,1741,1623.0
S01010440,Yoker South - 04,Glasgow City,289.0,305.0,2594,463,787.0
S01010441,Yoker South - 05,Glasgow City,3366.0,3629.0,3158,3515,2328.0
S01010442,Yoker South - 06,Glasgow City,763.0,1061.0,800,1738,2002.0
S01010443,Yoker North - 01,Glasgow City,2704.5,3831.0,1590,2415,4635.0
S01010444,Yoker North - 02,Glasgow City,1383.0,1538.0,1321,732,2343.0
S01010445,Yoker North - 03,Glasgow City,1060.0,1021.0,1252,879,3684.0
S01010446,Yoker North - 04,Glasgow City,2663.0,3352.0,3420,2297,4248.0
S01010447,Knightswood West - 01,Glasgow City,335.0,290.0,2362,514,2478.0
S01010448,Knightswood West - 02,Glasgow City,2232.0,2603.0,2288,2290,2934.0
S01010449,Knightswood West - 03,Glasgow City,1447.0,1487.0,1640,1182,3142.0
S01010450,Knightswood East - 01,Glasgow City,1341.0,1249.0,1262,1342,3492.0
S01010451,Knightswood East - 02,Glasgow City,281.5,123.0,3243,538,587.0
S01010452,Knightswood East - 03,Glasgow City,1990.0,1612.0,2298,1829,2954.0
S01010453,Knightswood East - 04,Glasgow City,343.0,296.0,1537,887,866.0
S01010454,Knightswood East - 05,Glasgow City,1735.0,1501.0,2789,2451,3148.0
S01010455,Knightswood Park West - 01,Glasgow City,62.0,18.0,940,23,684.0
S01010456,Knightswood Park West - 02,Glasgow City,1841.0,2677.0,3993,880,4206.0
S01010457,Knightswood Park West - 03,Glasgow City,2888.0,2331.0,3385,2462,298.0
S01010458,Knightswood Park West - 04,Glasgow City,765.0,595.0,1315,992,1963.0
S01010459,Knightswood Park West - 05,Glasgow City,1433.0,2101.0,1672,1493,5680.0
S01010460,Knightswood Park East - 01,Glasgow City,4458.0,5752.0,5292,5888,5379.0
S01010461,Knightswood Park East - 02,Glasgow City,688.0,299.0,1468,795,775.0
S01010462,Knightswood Park East - 03,Glasgow City,40.0,147.0,321,608,900.0
S01010463,Knightswood Park East - 04,Glasgow City,2723.0,3046.0,4388,2580,4173.0
S01010464,Knightswood Park East - 05,Glasgow City,2073.0,2948.0,2816,2121,3051.0
S01010465,Anniesland East - 01,Glasgow City,5527.0,5551.0,5697,4760,5231.0
S01010466,Anniesland East - 02,Glasgow City,5443.0,5226.0,6342,5145,4545.0
S01010467,Anniesland East - 03,Glasgow City,4523.0,4737.0,5758,3192,5100.0
S01010468,Anniesland East - 04,Glasgow City,4546.0,5389.0,4289,5287,4050.0
S01010469,Anniesland East - 05,Glasgow City,1440.5,1399.0,3037,1579,683.0
S01010470,Anniesland West - 01,Glasgow City,1865.0,1895.0,1796,870,3048.0
S01010471,Anniesland West - 02,Glasgow City,1314.0,2596.0,1196,1646,3339.0
S01010472,Anniesland West - 03,Glasgow City,1496.0,2262.0,3153,1778,3298.0
S01010473,Anniesland West - 04,Glasgow City,3871.0,3790.0,3266,4005,3964.0
S01010474,Anniesland West - 05,Glasgow City,2620.0,3233.0,4534,3330,4885.0
S01010475,Anniesland West - 06,Glasgow City,5359.0,5441.0,5445,4761,5774.0
S01010476,Anniesland West - 07,Glasgow City,3155.0,4020.0,3792,2549,3098.0
S01010477,Anniesland West - 08,Glasgow City,2583.0,2924.0,1820,2166,3648.0
S01010478,Blairdardie East - 01,Glasgow City,358.0,90.0,1825,188,2144.0
S01010479,Blairdardie East - 02,Glasgow City,1689.0,1796.0,2574,1074,3061.0
S01010480,Blairdardie East - 03,Glasgow City,1428.0,2249.0,2301,1581,1882.0
S01010481,Blairdardie East - 04,Glasgow City,94.0,332.0,460,359,3055.0
S01010482,Blairdardie East - 05,Glasgow City,1561.0,1715.0,3130,1127,5394.0
S01010483,Blairdardie East - 06,Glasgow City,1149.0,1187.0,1868,915,3571.0
S01010484,Blairdardie East - 07,Glasgow City,1381.0,2213.0,791,1232,3109.0
S01010485,Blairdardie West - 01,Glasgow City,2544.0,3765.0,2742,2989,2636.0
S01010486,Blairdardie West - 02,Glasgow City,5885.5,5458.0,5373,4835,1747.0
S01010487,Blairdardie West - 03,Glasgow City,3184.0,3436.0,3364,2839,5758.0
S01010488,Drumchapel South - 01,Glasgow City,329.0,789.0,410,282,1292.0
S01010489,Drumchapel South - 02,Glasgow City,915.0,726.0,642,1154,928.0
S01010490,Drumchapel South - 03,Glasgow City,107.0,391.0,261,367,871.0
S01010491,Drumchapel North - 01,Glasgow City,108.0,114.0,351,275,2976.0
S01010492,Drumchapel North - 02,Glasgow City,97.0,236.0,99,58,1565.0
S01010493,Drumchapel North - 03,Glasgow City,26.0,71.0,74,38,841.0
S01010494,Drumchapel North - 04,Glasgow City,755.0,1387.5,566,1454,1677.0
S01010495,Drumchapel North - 05,Glasgow City,96.0,82.0,251,15,863.0
S01010496,Drumry East - 01,Glasgow City,153.0,199.0,288,115,1600.0
S01010497,Drumry East - 02,Glasgow City,403.0,445.0,680,52,2439.0
S01010498,Drumry East - 03,Glasgow City,298.0,459.5,91,412,2043.0
S01010499,Drumry East - 04,Glasgow City,41.0,75.0,64,78,80.0
S01010500,Drumry West - 01,Glasgow City,311.0,618.0,633,179,2280.0
S01010501,Drumry West - 02,Glasgow City,1024.0,990.5,1005,471,3308.0
S01010502,Drumry West - 03,Glasgow City,2026.0,2008.0,2322,1550,3410.0
S01010503,Drumry West - 04,Glasgow City,198.0,480.0,463,243,1657.0
