Planning Authority,Site Name,Address,East,North,Site Size,Site Type,Period when site became Vacant or Derelict,Datazone,lon,lat,Start Year
Glasgow City,,OPP NO 112-132 STRATHMORE ROAD.,258889,669604,1.38,Vacant Land,1980 or earlier,S01010334,-4.258392433988853,55.898809159113725,1980
Glasgow City,,8-34 BALDRAGON ROAD.,268016,666220,2.52,Vacant Land,1996-2000,S01010111,-4.110887199679069,55.8710149248068,1996
Glasgow City,,CUMBERNAULD ROAD,264299,667656,0.84,Derelict,1991-1995,S01010188,-4.170963215016866,55.88287521981564,1991
Glasgow City,,NORTH OF 118-154 LIDDESDALE ROAD.,258942,669391,3.74,Derelict,1980 or earlier,S01010332,-4.257434423198265,55.89691241483194,1980
Glasgow City,,MACGREGOR STREET ARDLAW STREET.,254745,664870,0.2,Vacant Land,1991-1995,S01009842,-4.322068447727015,55.85507697593938,1991
Glasgow City,TEUCHARHILL,ARTHURLIE STREET ABOYNE STREET/ MACGREGOR STR,254919,664906,1.31,Vacant Land,1991-1995,S01009842,-4.319310564008897,55.85545256491405,1991
Glasgow City,,EAST OF 310 GLENTANNAR RD,259027,669663,0.78,Vacant Land,1980 or earlier,S01010334,-4.256218056599775,55.899379295841456,1980
Glasgow City,,26-66 LEDAIG STREET,262492,665161,0.44,Vacant Land,1996-2000,S01010246,-4.198560470077822,55.859961884679045,1996
Glasgow City,,9-25 BALDRAGON ROAD,268013,666304,0.59,Vacant Land,1996-2000,S01010111,-4.110976042795749,55.871768318940376,1996
Glasgow City,,BROOMFIELD ROAD,262200,667084,0.21,Derelict,1996-2000,S01010228,-4.204200093262911,55.87714359909362,1996
Glasgow City,,RHYMER STREET/ CASTLE STREET/ M8.,260326,666077,0.63,Vacant Land,1996-2000,S01010231,-4.233609810860577,55.867562921599074,1996
Glasgow City,,36-64 STONYHURST STREET/ 33-61 ALLANDER ST,259405,667699,1.33,Vacant Land,1996-2000,S01010224,-4.249157095755896,55.88185726728373,1996
Glasgow City,,32-46 ALLANDER STREET,259448,667761,0.41,Vacant Land,1996-2000,S01010224,-4.24850247722889,55.882426450852265,1996
