Datazone,dist_km,Income_Domain_Rank,Employment_Domain_Rank,Education_Domain_Rank,Health_Domain_Rank,Crime_Domain_Rank,Access_Domain_Rank
S01010027,0.3802554576673845,1544.0,2680.0,2319,1989,2190.0,6843
S01010028,0.3172062399071402,427.0,498.0,1049,268,1890.0,5464
S01010029,0.28343746878747805,182.0,136.0,960,171,2261.0,4145
S01010030,0.19851568653282323,2607.0,3653.0,3418,3693,1252.0,5385
S01010031,0.0941314050686408,3424.0,2591.0,3019,3634,243.0,3106
S01010032,0.07472463126031574,2445.0,1319.0,732,405,28.0,3303
S01010033,0.2038258421933298,704.0,476.0,975,852,142.0,6267
S01010034,0.16831191405315002,734.0,1121.0,918,526,493.0,4478
S01010035,0.17376372606801688,4685.5,4508.0,1127,5871,361.5,3628
S01010036,0.06225950652214782,6769.0,6761.0,5976,6953,5185.0,3664
S01010037,0.06916663811758314,154.0,331.0,134,125,320.0,6008
S01010038,0.22562703598202136,535.0,676.0,1701,385,175.0,4199
S01010039,0.09958335058227977,4498.0,4441.0,3145,4852,480.0,1961
S01010040,0.4763013596835787,3736.0,4082.0,3412,3280,252.0,4412
S01010041,0.12536327564754768,2028.0,1880.0,2726,2085,281.0,1789
S01010042,0.16103918121606114,1977.0,2712.0,2131,2627,1466.0,6220
S01010043,0.14423401366444352,510.0,422.0,473,354,520.0,6386
S01010044,0.37586995682999846,897.0,1384.0,1434,581,2116.0,6657
S01010045,0.42342486369014215,86.0,231.0,318,202,2249.0,5916
S01010046,0.07684114584835065,57.0,101.0,345,22,517.0,4499
S01010047,0.41818155936141493,24.0,36.0,77,90,1772.0,5701
S01010048,0.22785238778538416,326.0,566.0,577,368,1915.0,5421
S01010049,0.07178957062185813,231.0,450.0,257,343,1031.0,6371
S01010050,0.11657359230964998,420.0,547.0,147,458,916.0,5731
S01010051,0.18378191581483125,239.0,186.0,420,241,850.0,5927
S01010052,0.33535133949855833,666.0,320.0,224,193,25.0,6258
S01010053,0.4281296787859073,691.0,1669.0,767,710,919.0,3906
S01010054,0.3533760015203623,92.0,115.0,20,20,409.0,3134
S01010055,0.29909289010835416,195.0,69.0,416,10,103.0,5869
S01010056,0.13844312163877137,120.0,253.0,8,96,332.0,5820
S01010057,0.32463609535808396,609.0,1602.0,396,1133,770.0,5475
S01010058,0.274812226527469,700.0,740.0,259,423,989.0,5440
S01010059,0.3746088553312433,2054.0,1943.0,1035,1693,319.0,5468
S01010060,0.17319144763918295,880.0,551.0,899,660,1161.0,6856
S01010061,0.3354312403491747,2615.0,2044.0,3155,1258,1286.0,6641
S01010062,0.22030868842216744,328.0,1053.0,1200,476,786.0,5561
S01010063,0.18696965886244687,277.0,270.0,223,61,777.0,6529
S01010064,0.21637506594141628,1436.0,1625.0,2381,1557,2007.0,5920
S01010065,0.341602524268946,445.0,385.0,106,307,1562.0,5323
S01010066,0.23616167219592388,366.0,794.0,144,400,1056.0,4844
S01010067,0.4474191226327094,116.0,364.0,118,120,1177.0,4866
S01010068,0.3591505972587938,2029.0,2620.0,1906,2264,1773.0,5224
S01010069,0.26875558349235984,3552.0,3256.0,2824,1923,2598.0,6185
S01010070,0.22293289445095807,4799.0,4332.0,3948,3008,6222.0,5016
S01010071,0.4162358909860133,2434.0,2539.0,3782,1246,862.0,5763
S01010072,0.6256247154010842,2146.0,1924.0,2067,1487,2154.0,6519
S01010073,0.8400664094747257,3480.0,3706.0,4069,2267,2911.0,5337
S01010074,0.08043278102132673,3524.0,4306.0,2782,2558,2131.0,4166
S01010075,0.50433737967279,2060.0,2221.0,2242,1040,6258.0,3137
S01010076,0.4010577104667245,1819.0,1894.0,948,1094,4925.0,5317
S01010077,0.25219015610786616,849.0,1083.0,906,482,1925.0,3840
S01010078,0.48019725746813735,4933.0,4858.0,3681,3778,4483.0,982
S01010079,0.6253927395412839,5989.0,6013.0,5492,4582,5990.0,2144
S01010080,0.46681046001023446,5667.0,5511.0,5516,4043,5969.0,3171
S01010081,0.2072105895954802,4623.0,4839.0,4732,3897,5903.0,4664
S01010082,0.5240144575384145,3627.5,3302.0,2953,3223,4654.0,3015
S01010083,0.24898352039821225,1218.0,1101.0,1288,1148,2799.0,1384
S01010084,0.40213321285164794,879.0,861.0,1417,440,601.0,2487
S01010085,0.6354864864815325,4335.0,4071.0,4492,3301,2431.0,1913
S01010086,0.20575909364068823,507.0,484.0,759,84,1415.0,3497
S01010087,0.7537225025697046,4184.5,4525.0,5276,3518,4217.0,1520
S01010088,0.6313437501171426,5604.0,5981.0,4689,5393,5667.0,1335
S01010089,0.16561624250430865,1777.0,1306.0,2358,620,1386.0,3938
S01010090,0.14107216693811034,3185.0,3729.0,3601,2116,4266.0,2686
S01010091,0.7072927925634932,4131.0,4096.0,4090,3828,4444.0,1146
S01010092,0.23341329415240838,387.0,739.0,1063,286,2013.0,4265
S01010093,0.40985538595664806,3111.5,2773.0,3524,2448,2932.0,3874
S01010094,0.2798033201753668,4299.0,4017.0,4816,3292,3468.0,3549
S01010095,0.7216417711582598,5577.0,5142.0,3600,4205,6505.0,2011
S01010096,0.4320398642983279,4629.5,4136.0,4676,3332,3490.0,1352
S01010097,0.37250285009827755,4004.0,4028.5,3669,3600,3502.0,2367
S01010098,0.5012569760885044,4780.5,4118.0,4367,3529,2432.0,2475
S01010099,0.6818108718302491,5133.0,5545.5,5824,5014,3976.0,2807
S01010100,0.21661599078497437,3831.5,3589.0,3572,2559,3444.0,3181
S01010101,0.5233202585587584,4527.0,4227.0,3226,2909,6281.0,2738
S01010102,0.7291768601083598,4911.0,5098.0,4355,4904,6857.0,1342
S01010103,0.35528580247802993,4997.0,5308.0,4413,5024,3590.0,1373
S01010104,0.5552097465623654,4079.5,5601.0,4447,4447,3285.0,2540
S01010105,0.1461297783050813,436.0,420.0,455,92,498.0,4031
S01010106,0.07350826042509671,1227.0,915.0,1209,1071,995.0,3924
S01010107,0.11647297235283516,784.0,1006.0,202,557,2469.5,4118
S01010108,0.1525410606042596,807.0,610.0,1428,217,3306.0,2049
S01010109,0.17317233905879031,1195.0,1321.0,1377,744,1571.0,1028
S01010110,0.09014545813884217,204.5,239.0,639,220,1365.0,6319
S01010111,0.06967829556645075,49.0,95.0,212,14,1662.0,5168
S01010112,0.14050544402796272,190.0,207.0,161,50,1564.0,4870
S01010113,0.20761742506533779,254.0,229.0,372,190,1164.0,5917
S01010114,0.3876777168952439,31.0,41.0,38,13,335.0,6494
S01010115,0.24890431934191773,2224.0,2845.0,2118,2191,4809.0,2529
S01010116,0.11001668902174455,3522.0,3415.0,2772,2721,4437.0,3413
S01010117,0.5487306590857751,5536.0,5589.0,4362,5215,1531.0,1861
S01010118,0.16741757995530213,90.0,175.0,19,44,742.0,3078
S01010119,0.1469306739533293,647.0,667.0,384,252,3074.0,1326
S01010120,0.13577956040363912,71.0,358.0,22,122,1476.0,2721
S01010121,0.24068762285742135,59.0,144.0,41,46,2347.0,2820
S01010122,0.18912250824067453,17.0,15.0,54,9,85.0,5325
S01010123,0.3407893904390477,168.0,451.0,615,436,3671.0,1598
S01010124,0.21181848955000962,2200.0,2816.0,2057,2593,5455.0,2409
S01010125,0.16937727617035137,1448.0,2092.0,1126,1892,1816.0,4107
S01010126,0.21153627656468332,1252.0,1594.0,1860,720,3289.0,3812
S01010127,0.4301725962227641,408.0,225.0,1094,246,4636.0,3520
S01010128,0.29731952689038477,50.0,326.0,207,37,1185.0,1504
S01010129,0.21293543518839414,25.0,124.0,104,27,1278.0,2034
S01010130,0.3122186861970027,812.0,960.0,186,288,1533.0,3156
S01010131,0.3078765179544357,4046.0,5041.0,4393,3063,5157.0,5937
S01010132,0.2652258088971722,720.0,584.0,662,454,1510.0,5363
S01010133,0.39157390358027394,141.0,81.0,386,109,499.0,4973
S01010134,0.534039831686441,773.0,883.0,1403,316,2039.0,6156
